WKT,﻿KALIMANTAN BARAT,-0.13224,111.09689
"POINT (113.29033 -1.49958)",KALIMANTAN TENGAH,-1.49958,113.29033
"POINT (115.37565 -2.94348)",KALIMANTAN SELATAN,-2.94348,115.37565
"POINT (116.3573587 0.5357727)",KALIMANTAN TIMUR,0.5357727,116.3573587
"POINT (115.9661703 3.0550542)",KALIMANTAN UTARA,3.0550542,115.9661703
